"RunID","SourceID","SourceTime","Comment"
400001,0,0,NA
400002,0,0,NA
400003,0,0,NA
400004,0,0,NA
400005,3,50.38,NA
400006,0,0,NA
400007,2,37.75,NA
400008,0,0,NA
400009,2,65.5,NA
400010,0,0,NA
400011,0,0,NA
400012,0,0,NA
400013,0,0,NA
400014,0,0,NA
400015,4,35,NA
400016,0,0,NA
400017,6,48.06,NA
400018,2,52.5,NA
400019,0,0,NA
400020,0,0,NA
400021,5,62.62,NA
400022,5,122.31,NA
400023,0,0,NA
400024,0,0,NA
400025,0,0,NA
400026,0,0,NA
400027,4,44.42,NA
400028,3,57.38,NA
400029,1,93.19,NA
400030,0,0,NA
400031,5,235.25,NA
400032,0,0,NA
400033,4,429,NA
400034,2,85.75,NA
400035,0,0,NA
400036,0,0,NA
400037,0,0,NA
400038,0,0,NA
400039,4,43.12,NA
400040,1,50,NA
400041,0,0,NA
400042,0,0,NA
400043,0,0,NA
400044,6,94.56,NA
400045,0,0,NA
400046,0,0,NA
400047,3,51.83,NA
400048,0,0,NA
400049,0,0,NA
400050,4,57.31,NA
400051,0,0,NA
400052,5,60,NA
400053,0,0,NA
400054,3,110.38,NA
400055,0,0,NA
400056,0,0,NA
400057,0,0,NA
400058,1,30.62,NA
400059,0,0,NA
400060,5,63.88,NA
400061,0,0,NA
400062,5,107.12,NA
400063,0,0,NA
400064,0,0,NA
400065,4,31.88,NA
400066,0,0,NA
400067,0,0,NA
400068,0,0,NA
400069,0,0,NA
400070,6,47.12,NA
400071,0,0,NA
400072,0,0,NA
400073,3,200.38,NA
400074,0,0,NA
400075,3,51.5,NA
400076,0,0,NA
400077,0,0,NA
400078,1,124.12,NA
400079,3,51.75,NA
400080,0,0,NA
400081,3,40.62,NA
400082,0,0,NA
400083,0,0,NA
400084,4,37.25,NA
400085,3,63.56,NA
400086,0,0,NA
400087,0,0,NA
400088,0,0,NA
400089,0,0,NA
400090,1,50.81,NA
400091,0,0,NA
400092,3,99.94,NA
400093,4,32.75,NA
400094,1,48.62,NA
400095,5,73.5,NA
400096,0,0,NA
400097,1,44,NA
400098,0,0,NA
400099,6,45.06,NA
400100,0,0,NA
400101,0,0,NA
400102,6,57.25,NA
400103,0,0,NA
400104,3,41.06,NA
400105,0,0,NA
400106,3,35.88,NA
400107,0,0,NA
400108,6,46.75,NA
